path,species,health,is_aug,species_idx,health_idx,split
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease33_aug13_060738.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose236.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily648.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower114.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(112)_aug1_571858.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily667.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower533.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(64)_aug0_665822.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease2.jpeg,lily,diseased,False,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower3.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose619.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(5)_aug1_671088.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(130)_aug1_146991.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(85)_aug0_165080.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose45.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease5_aug14_771476.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower69.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(50).png,rose,diseased,False,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily387.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(11)_aug0_988712.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease32_aug7_146991.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily77.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(111)_aug0_964047.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(112)_aug1_844962.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease28_aug0_565427.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(124)_aug1_398382.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(87)_aug1_974230.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily213.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease18_aug1_952273.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(46)_aug0_330776.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(119)_aug1_638551.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower109.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(74)_aug1_912804.png,sunflower,diseased,True,2,1,train
